,sentences1,sentences2,is_similar
0,A group of kids is playing in a yard and an old man is standing in the background,A group of boys in a yard is playing and a man is standing in the background,1
1,A group of children is playing in the house and there is no man standing in the background,A group of kids is playing in a yard and an old man is standing in the background,1
2,The young boys are playing outdoors and the man is smiling nearby,The kids are playing outdoors near a man with a smile,1
3,The young boys are playing outdoors and the man is smiling nearby,There is no boy playing outdoors and there is no man smiling,1
4,The kids are playing outdoors near a man with a smile,A group of kids is playing in a yard and an old man is standing in the background,1
5,There is no boy playing outdoors and there is no man smiling,A group of kids is playing in a yard and an old man is standing in the background,1
6,A group of boys in a yard is playing and a man is standing in the background,The young boys are playing outdoors and the man is smiling nearby,1
7,A group of children is playing in the house and there is no man standing in the background,The young boys are playing outdoors and the man is smiling nearby,1
8,The young boys are playing outdoors and the man is smiling nearby,A group of kids is playing in a yard and an old man is standing in the background,1
9,A brown dog is attacking another animal in front of the tall man in pants,A brown dog is attacking another animal in front of the man in pants,1
10,A brown dog is attacking another animal in front of the man in pants,A brown dog is helping another animal in front of the man in pants,1
11,Two dogs are fighting,Two dogs are wrestling and hugging,1
12,Two dogs are wrestling and hugging,There is no dog wrestling and hugging,1
13,A brown dog is attacking another animal in front of the man in pants,Two dogs are fighting,1
14,A brown dog is attacking another animal in front of the man in pants,There is no dog wrestling and hugging,1
15,Two dogs are wrestling and hugging,A brown dog is attacking another animal in front of the tall man in pants,1
16,Two dogs are wrestling and hugging,A brown dog is helping another animal in front of the man in pants,0
17,A brown dog is attacking another animal in front of the man in pants,Two dogs are wrestling and hugging,1
18,A person in a black jacket is doing tricks on a motorbike,A man in a black jacket is doing tricks on a motorbike,1
19,There is no man in a black jacket doing tricks on a motorbike,A person in a black jacket is doing tricks on a motorbike,1
20,A person in a black jacket is doing tricks on a motorbike,A person on a black motorbike is doing tricks with a jacket,1
21,A skilled person is riding a bicycle on one wheel,A person is riding the bicycle on one wheel,1
22,Nobody is riding the bicycle on one wheel,A person is riding the bicycle on one wheel,1
23,A person in a black jacket is doing tricks on a motorbike,A skilled person is riding a bicycle on one wheel,1
24,Nobody is riding the bicycle on one wheel,A person in a black jacket is doing tricks on a motorbike,1
25,A person is riding the bicycle on one wheel,A man in a black jacket is doing tricks on a motorbike,1
26,A person is riding the bicycle on one wheel,There is no man in a black jacket doing tricks on a motorbike,1
27,A person on a black motorbike is doing tricks with a jacket,A person is riding the bicycle on one wheel,1
28,A person is riding the bicycle on one wheel,A person in a black jacket is doing tricks on a motorbike,1
29,A man with a jersey is dunking the ball at a basketball game,The ball is being dunked by a man with a jersey at a basketball game,1
30,A man with a jersey is dunking the ball at a basketball game,There is no man dunking the ball at a basketball game,1
31,The game of basketball consists of a ball being dunked by a man with a jersey,A man with a jersey is dunking the ball at a basketball game,1
32,A man who is playing dunks the basketball into the net and a crowd is in background,The player is dunking the basketball into the net and a crowd is in background,1
33,The player is missing the basket and a crowd is in background,The player is dunking the basketball into the net and a crowd is in background,1
34,A man with a jersey is dunking the ball at a basketball game,A man who is playing dunks the basketball into the net and a crowd is in background,1
35,A man with a jersey is dunking the ball at a basketball game,The player is missing the basket and a crowd is in background,1
36,The player is dunking the basketball into the net and a crowd is in background,The ball is being dunked by a man with a jersey at a basketball game,1
37,There is no man dunking the ball at a basketball game,The player is dunking the basketball into the net and a crowd is in background,1
38,The game of basketball consists of a ball being dunked by a man with a jersey,The player is dunking the basketball into the net and a crowd is in background,1
39,The player is dunking the basketball into the net and a crowd is in background,A man with a jersey is dunking the ball at a basketball game,1
40,Two people are kickboxing and spectators are watching,Two people are fighting and spectators are watching,1
41,Two people are kickboxing and spectators are not watching,Two people are kickboxing and spectators are watching,1
42,Two spectators are kickboxing and some people are watching,Two people are kickboxing and spectators are watching,1
43,Two young women are sparring in a kickboxing fight,Two women are sparring in a kickboxing match,1
44,Two young women are not sparring in a kickboxing fight,Two women are sparring in a kickboxing match,1
45,Two people are kickboxing and spectators are watching,Two young women are sparring in a kickboxing fight,1
46,Two people are kickboxing and spectators are watching,Two young women are not sparring in a kickboxing fight,1
47,Two women are sparring in a kickboxing match,Two people are fighting and spectators are watching,1
48,Two women are sparring in a kickboxing match,Two people are kickboxing and spectators are not watching,1
49,Two spectators are kickboxing and some people are watching,Two women are sparring in a kickboxing match,1
50,Two people are kickboxing and spectators are watching,Two women are sparring in a kickboxing match,1
51,Kids in red shirts are playing in the leaves,Children in red shirts are playing in the leaves,1
52,Children in red shirts are playing in the leaves,Children in red shirts are sleeping in the leaves,1
53,Children in red shirts are playing in the leaves,Children covered by leaves are playing with red shirts,1
54,Three boys are jumping in the leaves,Three kids are jumping in the leaves,1
55,Three kids are sitting in the leaves,Three kids are jumping in the leaves,1
56,Three boys are jumping in the leaves,Children in red shirts are playing in the leaves,1
57,Children in red shirts are playing in the leaves,Three kids are sitting in the leaves,1
58,Kids in red shirts are playing in the leaves,Three kids are jumping in the leaves,1
59,Children in red shirts are sleeping in the leaves,Three kids are jumping in the leaves,1
60,Children covered by leaves are playing with red shirts,Three kids are jumping in the leaves,1
61,Children in red shirts are playing in the leaves,Three kids are jumping in the leaves,1
62,Two children are lying in the snow and are drawing angels,Two children are lying in the snow and are making snow angels,1
63,Two children are lying in the snow and are making snow angels,There is no child lying in the snow and making snow angels,1
64,Two angels are making snow on the lying children,Two children are lying in the snow and are making snow angels,1
65,Two people wearing snowsuits are on the ground making snow angels,Two people in snowsuits are lying in the snow and making snow angels,1
66,Two people in snowsuits are lying in the snow and making snow angels,Nobody in snowsuits is lying in the snow and making snow angels,1
67,Two children are lying in the snow and are making snow angels,Two people wearing snowsuits are on the ground making snow angels,1
68,Two children are lying in the snow and are making snow angels,Nobody in snowsuits is lying in the snow and making snow angels,1
69,Two children are lying in the snow and are drawing angels,Two people in snowsuits are lying in the snow and making snow angels,1
70,There is no child lying in the snow and making snow angels,Two people in snowsuits are lying in the snow and making snow angels,1
71,Two people in snowsuits are lying in the snow and making snow angels,Two angels are making snow on the lying children,1
72,Two children are lying in the snow and are making snow angels,Two people in snowsuits are lying in the snow and making snow angels,1
73,A little girl is looking at a woman in costume,A young girl is looking at a woman in costume,1
74,A little girl is looking at a woman in costume,The little girl is looking at a man in costume,1
75,A little girl is looking at a woman in costume,A little girl in costume looks like a woman,1
76,People wearing costumes are gathering in a forest and are looking in the same direction,Masked people are looking in the same direction in a forest,1
77,People wearing costumes are gathering in a forest and are looking in the same direction,People wearing costumes are scattering in a forest and are looking in different directions,1
78,People are looking at some costumes gathered in the vicinity of the forest,People wearing costumes are gathering in a forest and are looking in the same direction,1
79,Masked people are looking in the same direction in a forest,A little girl is looking at a woman in costume,0
80,A little girl is looking at a woman in costume,People wearing costumes are scattering in a forest and are looking in different directions,0
81,A little girl is looking at a woman in costume,People are looking at some costumes gathered in the vicinity of the forest,1
82,A young girl is looking at a woman in costume,People wearing costumes are gathering in a forest and are looking in the same direction,0
83,People wearing costumes are gathering in a forest and are looking in the same direction,The little girl is looking at a man in costume,1
84,People wearing costumes are gathering in a forest and are looking in the same direction,A little girl in costume looks like a woman,0
85,A little girl is looking at a woman in costume,People wearing costumes are gathering in a forest and are looking in the same direction,1
86,A lone biker is jumping in the air,"A biker is jumping in the air, alone",1
87,There is no biker jumping in the air,A lone biker is jumping in the air,1
88,A man is jumping into an empty swimming pool,A man is jumping into an empty pool,1
89,A man is jumping into an empty pool,A man is jumping into a full pool,1
90,A man is jumping into an empty pool,The man's jumper is in the empty pool,1
91,A lone biker is jumping in the air,A man is jumping into an empty swimming pool,0
92,A lone biker is jumping in the air,A man is jumping into a full pool,0
93,The man's jumper is in the empty pool,A lone biker is jumping in the air,0
94,A man is jumping into an empty pool,"A biker is jumping in the air, alone",0
95,A man is jumping into an empty pool,There is no biker jumping in the air,0
96,A lone biker is jumping in the air,A man is jumping into an empty pool,0
97,Four kids are doing backbends in the park,Four children are doing backbends in the park,1
98,Four children are doing backbends in the gym,Four children are doing backbends in the park,1
99,Four girls are doing backbends and playing in the garden,Four girls are doing backbends and playing outdoors,1
100,Four girls are doing backbends and playing outdoors,Four girls are doing backbends and playing indoors,1
101,Four girls are doing backbends and playing in the garden,Four children are doing backbends in the park,1
102,Four girls are doing backbends and playing indoors,Four children are doing backbends in the park,1
103,Four kids are doing backbends in the park,Four girls are doing backbends and playing outdoors,1
104,Four children are doing backbends in the gym,Four girls are doing backbends and playing outdoors,1
105,Four girls are doing backbends and playing outdoors,Four children are doing backbends in the park,1
106,A man who is playing is running with the ball in his hands,A player is running with the ball,1
107,A player is throwing the ball,A player is running with the ball,1
108,Two groups of people are playing football,Two teams are competing in a football match,1
109,Two teams are competing in a football match,Two teams are competing in a baseball game,1
110,Two teams are competing in a football match,Football is being played by two competing teams,1
111,Two groups of people are playing football,A player is running with the ball,0
112,Two teams are competing in a baseball game,A player is running with the ball,1
113,A player is running with the ball,Football is being played by two competing teams,1
114,Two teams are competing in a football match,A man who is playing is running with the ball in his hands,1
115,A player is throwing the ball,Two teams are competing in a football match,1
116,A player is running with the ball,Two teams are competing in a football match,1
117,Five children are standing in front of a wooden hut,Five children are standing in front of a hut made of wood,1
118,Five children are standing in front of a wooden hut,Five children are standing in a wooden hut,1
119,Five wooden stands are in front of each child's hut,Five children are standing in front of a wooden hut,1
120,Five kids are standing close together and one kid has a gun,Five kids are standing close together and one kid has a weapon,1
121,Five kids are standing close together and one kid has a gun,Five kids are standing close together and none of the kids has a gun,1
122,Five children are standing in front of a wooden hut,Five kids are standing close together and one kid has a weapon,1
123,Five kids are standing close together and none of the kids has a gun,Five children are standing in front of a wooden hut,1
124,Five children are standing in front of a hut made of wood,Five kids are standing close together and one kid has a gun,1
125,Five children are standing in a wooden hut,Five kids are standing close together and one kid has a gun,1
126,Five wooden stands are in front of each child's hut,Five kids are standing close together and one kid has a gun,0
127,Five children are standing in front of a wooden hut,Five kids are standing close together and one kid has a gun,0
128,An old man is sitting in a field,A man is sitting in a field,1
129,A man is sitting in a field,A man is running in a field,1
130,A person is wearing a hat and is sitting on the grass,A person is sitting in a field and is wearing a hat,1
131,A person is wearing a hat and is sitting on the grass,There is no person wearing a hat and sitting on the grass,1
132,A person is sitting and wearing a grass hat,A person is wearing a hat and is sitting on the grass,1
133,A person is sitting in a field and is wearing a hat,A man is sitting in a field,1
134,A man is sitting in a field,There is no person wearing a hat and sitting on the grass,1
135,A person is sitting and wearing a grass hat,A man is sitting in a field,1
136,An old man is sitting in a field,A person is wearing a hat and is sitting on the grass,1
137,A person is wearing a hat and is sitting on the grass,A man is running in a field,0
138,A man is sitting in a field,A person is wearing a hat and is sitting on the grass,1
139,The current is being ridden by a group of friends in a raft,A group of friends are riding the current in a raft,1
140,A group of friends are riding the current in a raft,A group is not riding the current in a raft,1
141,This group of people is practicing water safety and wearing preservers,Preservers are being worn by a group of people who are practicing water safety,1
142,Nobody is practicing water safety and wearing preservers,This group of people is practicing water safety and wearing preservers,1
143,A group of friends are riding the current in a raft,Preservers are being worn by a group of people who are practicing water safety,1
144,Nobody is practicing water safety and wearing preservers,A group of friends are riding the current in a raft,0
145,The current is being ridden by a group of friends in a raft,This group of people is practicing water safety and wearing preservers,1
146,A group is not riding the current in a raft,This group of people is practicing water safety and wearing preservers,1
147,A group of friends are riding the current in a raft,This group of people is practicing water safety and wearing preservers,1
148,A deer is jumping over a fence,A deer is jumping over the enclosure,1
149,A deer is jumping over a fence,A deer isn't jumping over the fence,1
150,A wild deer is jumping a fence,A deer is jumping a fence,1
151,A deer is jumping a fence,There is no deer jumping fences,1
152,A wild deer is jumping a fence,A deer is jumping over a fence,1
153,There is no deer jumping fences,A deer is jumping over a fence,1
154,A deer is jumping over the enclosure,A deer is jumping a fence,1
155,A deer is jumping a fence,A deer isn't jumping over the fence,1
156,A deer is jumping over a fence,A deer is jumping a fence,1
157,People are walking outside a building that has many murals on it,People are walking outside the building that has several murals on it,1
158,People are walking inside a building that has many murals on it,People are walking outside a building that has many murals on it,1
159,Several people are in front of a building which is covered by colors,Several people are in front of a colorful building,1
160,Several people are in front of a colorful building,Nobody is in front of the colorful building,1
161,Several people are in front of a building which is covered by colors,People are walking outside a building that has many murals on it,1
162,People are walking outside a building that has many murals on it,Nobody is in front of the colorful building,1
163,People are walking outside the building that has several murals on it,Several people are in front of a colorful building,1
164,Several people are in front of a colorful building,People are walking inside a building that has many murals on it,1
165,People are walking outside a building that has many murals on it,Several people are in front of a colorful building,1
166,A boy is hitting a baseball,A child is hitting a baseball,1
167,A child is hitting a baseball,A child is missing a baseball,1
168,A family is watching a little boy who is hitting a baseball,A family is watching a boy who is hitting a baseball,1
169,A family is watching a little boy who is hitting a baseball,A family is watching a little boy who is missing a baseball,1
170,A little boy is watching a family that is hitting a baseball,A family is watching a little boy who is hitting a baseball,1
171,A family is watching a boy who is hitting a baseball,A child is hitting a baseball,1
172,A child is hitting a baseball,A family is watching a little boy who is missing a baseball,1
173,A little boy is watching a family that is hitting a baseball,A child is hitting a baseball,1
174,A family is watching a little boy who is hitting a baseball,A boy is hitting a baseball,1
175,A child is missing a baseball,A family is watching a little boy who is hitting a baseball,1
176,A family is watching a little boy who is hitting a baseball,A child is hitting a baseball,1
177,A large group of Asian people is eating at a restaurant,A group of people from Asia is eating at a restaurant,1
178,A large group of Asian people is eating at a restaurant,A small group of people is waiting to eat in a restaurant,1
179,A large group of Asian people is eating at a restaurant,A group of people in a large Asian restaurant is eating,1
180,Various people are eating at red tables in a crowded restaurant with purple lights,Various customers are eating in a crowded restaurant with purple lights,1
181,Few people are eating at red tables in a restaurant without lights,Various people are eating at red tables in a crowded restaurant with purple lights,1
182,A purple crowd of people is eating on various red lit restaurant tables,Various people are eating at red tables in a crowded restaurant with purple lights,1
183,A large group of Asian people is eating at a restaurant,Various customers are eating in a crowded restaurant with purple lights,1
184,Few people are eating at red tables in a restaurant without lights,A large group of Asian people is eating at a restaurant,1
185,A purple crowd of people is eating on various red lit restaurant tables,A large group of Asian people is eating at a restaurant,1
186,A group of people from Asia is eating at a restaurant,Various people are eating at red tables in a crowded restaurant with purple lights,1
187,Various people are eating at red tables in a crowded restaurant with purple lights,A small group of people is waiting to eat in a restaurant,1
188,A group of people in a large Asian restaurant is eating,Various people are eating at red tables in a crowded restaurant with purple lights,1
189,A large group of Asian people is eating at a restaurant,Various people are eating at red tables in a crowded restaurant with purple lights,1
190,A motorcycle rider is standing up on the seat of a white motorcycle,A motorcycle is riding standing up on the seat of the vehicle,1
191,A motorcycle rider is standing up on the seat of a white motorcycle,No motorcycle rider is standing up on the seat of a motorcycle,1
192,Someone is on a black and white motorcycle and is standing on the seat,A rider is on a black and white bike and is standing on the seat,1
193,Nobody is on a motorcycle and is standing on the seat,Someone is on a black and white motorcycle and is standing on the seat,1
194,A rider is on a black and white bike and is standing on the seat,A motorcycle rider is standing up on the seat of a white motorcycle,1
195,Nobody is on a motorcycle and is standing on the seat,A motorcycle rider is standing up on the seat of a white motorcycle,1
196,Someone is on a black and white motorcycle and is standing on the seat,A motorcycle is riding standing up on the seat of the vehicle,1
197,Someone is on a black and white motorcycle and is standing on the seat,No motorcycle rider is standing up on the seat of a motorcycle,1
198,Someone is on a black and white motorcycle and is standing on the seat,A motorcycle rider is standing up on the seat of a white motorcycle,1
199,A motorcyclist is riding a motorbike dangerously along a roadway,A motorcyclist is riding a motorbike along a roadway,1
200,There is no motorcyclist riding a motorbike along a roadway,A motorcyclist is riding a motorbike along a roadway,1
201,A man with a helmet painted red is riding a blue motorcycle down the road,A motorcyclist with a red helmet is riding a blue motorcycle down the road,1
202,A motorcyclist with a red helmet is riding a blue motorcycle down the road,A motorcyclist without a helmet is waiting on a blue motorcycle near the road,1
203,A man with a helmet painted red is riding a blue motorcycle down the road,A motorcyclist is riding a motorbike along a roadway,1
204,A motorcyclist without a helmet is waiting on a blue motorcycle near the road,A motorcyclist is riding a motorbike along a roadway,1
205,A motorcyclist with a red helmet is riding a blue motorcycle down the road,A motorcyclist is riding a motorbike dangerously along a roadway,1
206,There is no motorcyclist riding a motorbike along a roadway,A motorcyclist with a red helmet is riding a blue motorcycle down the road,1
207,A motorcyclist with a red helmet is riding a blue motorcycle down the road,A motorcyclist is riding a motorbike along a roadway,1
208,A dog is catching a stick in the air and another is watching,A dog is leaping high in the air and another is watching,1
209,There is no dog leaping in the air,A dog is leaping high in the air and another is watching,1
210,Two dogs are playing by a tree,Two dogs are playing by a plant,1
211,Two dogs are playing by a tree,Two dogs are sleeping by a tree,1
212,A dog is leaping high in the air and another is watching,Two dogs are playing by a plant,1
213,A dog is leaping high in the air and another is watching,Two dogs are sleeping by a tree,1
214,Two dogs are playing by a tree,A dog is catching a stick in the air and another is watching,1
215,Two dogs are playing by a tree,There is no dog leaping in the air,1
216,Two dogs are playing by a tree,A dog is leaping high in the air and another is watching,1
217,A girl in white is dancing,A girl is wearing white clothes and is dancing,1
218,There is no girl in white dancing,A girl in white is dancing,1
219,The dancer is dancing in front of the sound equipment,The blond girl is dancing in front of the sound equipment,1
220,The blond girl is dancing behind the sound equipment,The blond girl is dancing in front of the sound equipment,1
221,The blond girl is dancing in front of the sound equipment,The equipment in front of the blond dancing girl is sound,1
222,A girl in white is dancing,The dancer is dancing in front of the sound equipment,1
223,A girl in white is dancing,The blond girl is dancing behind the sound equipment,1
224,The equipment in front of the blond dancing girl is sound,A girl in white is dancing,1
225,A girl is wearing white clothes and is dancing,The blond girl is dancing in front of the sound equipment,1
226,The blond girl is dancing in front of the sound equipment,There is no girl in white dancing,1
227,A girl in white is dancing,The blond girl is dancing in front of the sound equipment,1
228,The children of a family are patiently playing and waiting,The children of a family are playing and waiting,1
229,The children of a family are playing and waiting,There are no children playing and waiting,1
230,Three Asian kids are dancing and a serious man is looking,Three Asian kids are dancing and a man is looking,1
